# 格式：中文 | English
# 年代质感 / 制作 Era & Production
80 年代复古 | 80s retro
90 年代流行 | 90s pop
2000 年代流行 | 2000s pop
复古模拟 | vintage analog
磁带温暖 | tape warmth
复古低保真 | lo-fi vintage
现代精良制作 | modern polished
当代制作 | contemporary production
电台级 | radio-ready
体育场混响 | stadium reverb
贴耳近场制作 | intimate close-mic production
混响充盈 | reverb-drenched
干声混音 | dry mix
宽声场 | wide stereo
华丽混响 | lush reverb
音墙 | wall of sound
极简制作 | minimalist production
不插电 | acoustic unplugged
现场录音 | live recording
管弦电影感 | orchestral cinematic
卧室流行质感 | bedroom pop
模拟暖调 | analog warmth
黑胶暖调 | vinyl warmth
空间氛围感 | spatial and atmospheric
水下氛围 | underwater ambience
