# 格式：中文 | English
# 节奏律动 / 编曲密度 Rhythm & Arrangement
慢板抒情 | slow ballad
中速律动 | mid-tempo groove
轻快 | upbeat
推进感鼓点 | driving drums
四拍底鼓 | four-on-the-floor
摇摆律动 | shuffled groove
摇摆感 | swung feel
切分节奏 | syncopated
半拍感 | half-time feel
双倍速 | double-time feel
稀疏编曲 | sparse arrangement
极简编曲 | minimal arrangement
华丽配器 | lush orchestration
层次密集 | dense layering
极简伴奏 | stripped back
原声编制 | acoustic arrangement
现场乐队感 | live band feel
低保真质感 | lo-fi texture
律动优先 | groove-heavy
放克律动 | funk groove
圆舞曲感 | waltz feel
波萨诺瓦节奏 | bossa nova rhythm
陷阱踩镲 | trap hi-hats
门限军鼓 | gated snares
侧链律动 | sidechain pumping
情绪推进 | build-ups
爆点下落 | drops
间奏爆发 | breakdown
渐强 | crescendo
动态起伏 | dynamic build
电影式轰然 | cinematic swell
